YEAR;COUNTRY;CAR_FAMILY;VOLUME
2021;IT;offroad;35684.58579582689
2022;IT;offroad;40295.91891134323
2023;IT;offroad;42990.74650580138
2024;IT;offroad;48483.37397273519
2025;IT;offroad;54125.876697064814
2026;IT;offroad;52829.00640223776
2027;IT;offroad;52243.50525112989
2021;GB;offroad;16950.384540972867
2022;GB;offroad;15499.313384200404
2023;GB;offroad;15213.975950348224
2024;GB;offroad;13593.384940131997
2025;GB;offroad;13311.75821617124
2026;GB;offroad;13405.771750416014
2027;GB;offroad;13168.328610807821
2021;FR;offroad;65749.29939699156
2022;FR;offroad;68811.19709821408
2023;FR;offroad;69775.92607151711
2024;FR;offroad;70995.49870766187
2025;FR;offroad;69053.34504955618
2026;FR;offroad;70647.42741590485
2027;FR;offroad;71542.36976253826
2021;ES;offroad;16509.455903552294
2022;ES;offroad;17401.21602710295
2023;ES;offroad;18195.05221718061
2024;ES;offroad;20933.091339820337
2025;ES;offroad;22032.857133062425
2026;ES;offroad;24019.19820618686
2027;ES;offroad;24885.48822540985
2021;DE;offroad;8665.29953480375
2022;DE;offroad;9283.200590486496
2023;DE;offroad;9426.369270687903
2024;DE;offroad;9663.230869793926
2025;DE;offroad;9568.183324624875
2026;DE;offroad;9738.343885595514
2027;DE;offroad;9651.402801005803
